trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9995}",25,0,-115.06275936061091,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9990000000000001}",25,0,-121.79841216115723,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9985000000000002}",30,0,-166.67976518211333,"{0: 18, 1: 6, 2: 2, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9980000000000002}",20,0,-94.24869013233108,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9975000000000003}",35,0,-304.528037823243,"{0: 18, 1: 4, 2: 5, 3: 3, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.9970000000000003}",20,0,-95.0393620790994,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9965000000000004}",20,10,-39.95455636694846,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9960000000000004}",25,0,-123.07202738366715,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9955000000000005}",20,0,-37.11533838787677,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9950000000000006}",25,0,-102.73326608598055,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9945000000000006}",20,10,-79.59209820131325,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.9940000000000007}",20,0,-142.06622375812856,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9935000000000007}",20,0,-146.61400521213665,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9930000000000008}",30,0,-182.93307479654177,"{0: 14, 1: 9, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9925000000000008}",25,0,-176.34375731465866,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9920000000000009}",30,10,-85.43346417756612,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.9915000000000009}",20,0,-98.50877526953018,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.991000000000001}",30,0,-187.3739837829632,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.990500000000001}",25,17,-52.265021032868326,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.9900000000000011}",20,0,-61.44657198710508,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9895000000000012}",20,0,-158.93483131454335,"{0: 8, 1: 1, 2: 8, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9890000000000012}",25,0,-107.91601693892316,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9885000000000013}",30,0,-123.62101857999144,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9880000000000013}",25,0,-101.50662517684655,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9875000000000014}",20,0,-20.138289763784496,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9870000000000014}",30,0,-264.117146991798,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 5}",0
27,False,"{'a': 0.5, 'e': 0.9865000000000015}",20,0,-61.634401711360525,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9860000000000015}",20,0,-120.65366386598652,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9855000000000016}",20,0,-94.81204436475767,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9850000000000017}",20,0,-142.27952895515725,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9845000000000017}",20,0,-211.70582551857413,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
32,False,"{'a': 0.5, 'e': 0.9840000000000018}",25,0,-163.21803948821446,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.9835000000000018}",25,0,-30.028669450200056,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9830000000000019}",25,0,-192.4242247609774,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9825000000000019}",20,0,-150.37160697721748,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.982000000000002}",20,0,-29.135474268663348,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.981500000000002}",20,0,-75.00237113711674,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9810000000000021}",25,0,-69.79326084628119,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9805000000000021}",25,0,-79.46810762225748,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.9800000000000022}",30,0,-280.8475702006705,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 5}",0
41,False,"{'a': 0.5, 'e': 0.9795000000000023}",25,0,-81.66036446527673,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9790000000000023}",25,0,-122.30225547123204,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9785000000000024}",20,0,-46.86010529481488,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9780000000000024}",25,0,-178.36793287428108,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.9775000000000025}",20,0,-185.57335510902692,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.9770000000000025}",25,0,-180.36305689859267,"{0: 9, 1: 6, 2: 8, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.9765000000000026}",20,0,-154.9257977817244,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9760000000000026}",25,0,-131.4133768791923,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9755000000000027}",25,0,-141.61547761242136,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9750000000000028}",25,0,-143.36086670730992,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
