trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.95}",25,0,-178.94622592160076,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.2, 'e': 0.8999999999999999}",20,0,-108.41607924225556,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.8499999999999999}",20,0,-46.01467492550227,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.7999999999999998}",20,0,-158.7258126080963,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.7499999999999998}",25,0,-97.16998151441803,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.6999999999999997}",20,0,-115.93808752861739,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.6499999999999997}",20,0,-89.95338312954817,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.5999999999999996}",20,0,-153.37482156533156,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.2, 'e': 0.5499999999999996}",25,0,-188.3147781823332,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
10,False,"{'a': 0.2, 'e': 0.4999999999999996}",25,0,-117.0868587025931,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.2, 'e': 0.4499999999999996}",20,0,-89.11545595840164,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.39999999999999963}",25,0,-165.54795577632711,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.34999999999999964}",20,0,-93.1072190081389,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.29999999999999966}",25,0,-124.95127709007329,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.2, 'e': 0.24999999999999967}",25,0,-146.19557532873915,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.19999999999999968}",25,0,-83.74722104103955,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.1499999999999997}",20,11,-91.77471591376451,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 0.2, 'e': 0.09999999999999969}",20,0,-68.16644335678845,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.2, 'e': 0.049999999999999684}",20,0,-92.57950790411213,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.2, 'e': -3.191891195797325e-16}",30,16,-55.892536568825086,"{0: 7, 1: 1, 2: 6, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-33.37967489169725,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,0,-128.54208648177084,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-133.68852687102668,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-47.989360742286294,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-132.95268530885429,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-121.32188376774262,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-188.76552096818673,"{0: 9, 1: 4, 2: 2, 3: 2, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",30,0,-101.37375960917403,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-58.79397842782607,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-18.45029169072648,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
