trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,9,-86.78579066806178,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-60.86380155079058,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-181.0910853353668,"{0: 20, 1: 3, 2: 7, 3: 4, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,6,-62.11752581173472,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,6,-128.367902786341,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-104.73454310609685,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-58.91208407636356,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-27.540581311735387,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-40.612103811860635,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-191.65527501611027,"{0: 20, 1: 1, 2: 3, 3: 3, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-85.10825371630531,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-62.63389140006214,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,3,-40.76547064618617,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-122.951739014708,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,7,-30.549752522850298,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,15.834628677196454,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-3.105604816790626,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,12.236132489898168,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-63.74327902299307,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,21,-50.652567574207524,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,14.375165463199167,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-37.97330982517829,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,18,10.453192070029054,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,4,21.842982322063797,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",35,14,-48.097081594067525,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",25,0,26.047573373437267,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-22.571400447458124,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,22.862559848507253,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-34.77573528304826,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,5,-38.510164916340926,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
