trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.995}",20,0,-28.567048256852438,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.2, 'e': 0.99}",20,0,-118.6002686713842,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.985}",20,0,-159.54334019479907,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.2, 'e': 0.98}",20,0,-49.682563124298085,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.975}",35,0,-150.99369450166907,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.97}",30,0,-213.95095785178313,"{0: 14, 1: 6, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.2, 'e': 0.965}",20,0,-165.4236112535302,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.2, 'e': 0.96}",25,3,-52.27923861797458,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.2, 'e': 0.955}",20,0,-95.36848236524739,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.95}",20,0,-95.2554311112749,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.945}",20,0,-181.66803400590837,"{0: 6, 1: 7, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.94}",25,0,-109.19572934719727,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.9349999999999999}",20,0,-58.65141081978159,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.9299999999999999}",25,0,-163.7141250102487,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
15,False,"{'a': 0.2, 'e': 0.9249999999999999}",20,0,-54.75678983699777,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.9199999999999999}",20,6,-86.53771210117227,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 1}",1
17,False,"{'a': 0.2, 'e': 0.9149999999999999}",25,0,-180.5046517037185,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
18,False,"{'a': 0.2, 'e': 0.9099999999999999}",30,0,-145.43429417575126,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.2, 'e': 0.9049999999999999}",30,0,-106.97226438229592,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
20,False,"{'a': 0.2, 'e': 0.8999999999999999}",20,0,-164.3984689048959,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
