trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.54859942045734,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.72669506661788,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-195.42894395016688,"{0: 19, 1: 3, 2: 10, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.35349128110455,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,5,-131.6724378728705,"{0: 5, 1: 3, 2: 4, 3: 2, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.9598328845616,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.79364825341229,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.60933052158904,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.82225755376759,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.66110657917854,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,5,-13.639332124390467,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.82329101151993,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.12474990228245,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.71690198273456,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.16587229579476,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.52136575906447,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.05275058175087,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.3219772147566,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.37161038247334,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.9640959279617,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.74037792477088,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
